,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,comment 2,comment
St. Peter,13.081870668673744,48.25651953672731,81540198.0,Umspannwerk St. Peter,380000,Austrian Power Grid AG,,
Zell am Ziller,11.897843807702714,47.23344726452989,156973414.0,Umspannwerk Zell am Ziller,380000;220000;110000,Austrian Power Grid AG,,
Schaerding,13.442854236030715,48.43454641266219,210191809.0,Umspannwerk Schärding,220000,,,
Mayrhofen,11.850783184805527,47.16249227836742,28596524.0,Schaltanlage Mayrhofen,220000,,,
Jochenstein,13.71073700349927,48.51930895732802,50729129.0,Umspannwerk Jochenstein,220000,,,
Duernrohr,15.885238377926264,48.32893727438379,59531071.0,Umspannwerk Dürnrohr,380000;220000;110000,Austrian Power Grid;Netz Niederösterreich,Duplicated OSM name: 59531071 122592181 ,
Ternitz,16.06490277317982,47.7070677856701,83202471.0,Umspannwerk Ternitz,220000;110000;20000,Austrian Power Grid AG,,
Greuth,13.679812286068152,46.543191595286906,180468540.0,Umspannwerk Greuth,220000,Eneco S.r.l.,,
Hessenberg,15.020796538539823,47.396956665361806,88680218.0,Umspannwerk Hessenberg,220000;110000,Verbund Austrian Power Grid AG,,
Rosegg,14.027972807478903,46.56831819131426,86119428.0,Kraftwerk Rosegg,220000,Verbund Hydro Power GmbH,,
Feistritz,14.172961249999991,46.53584399999989,86119456.0,Umspannwerk Feistritz,220000,,,
Tauern,12.73973337869626,47.2775954845319,38868243.0,Umspannwerk Tauern,380000;220000,Austrian Power Grid AG,,
Schwarzenbach,12.583374818145153,47.27851691110436,318616912.0,Umspannwerk Schwarzenbach,380000;110000,Austrian Power Grid AG;Österreichische Bundesbahnen,,
Suedburgenland,16.27630146801808,47.25075082813861,81684898.0,Umspannwerk Südburgenland/Rotenturm,380000;110000,Verbund Austrian Power Grid AG,,No 100% match
Phyrn,14.330479603541418,47.67845501526679,89985993.0,Umspannwerk Pyhrn,220000,Verbund Austrian Power Grid AG,,No 100% match
Etzersdorf,15.737359550000043,48.26874594999984,30042006.0,Schaltwerk Etzersdorf,380000,Austrian Power Grid AG,,
Weissenbach,14.207802708297498,47.57454944225969,89451551.0,Umspannwerk Weißenbach,220000,Verbund;Austrian Power Grid AG,,
Sarasdorf,16.69596472799925,48.03194296689241,107248400.0,Umspannwerk Sarasdorf,380000;110000,,,
Aschach,14.019605071709048,48.38520842909604,92873353.0,Umspannwerk Aschach,220000,,,
Zurndorf,16.994533021838077,47.937698174466256,171066516.0,Umspannwerk Zurndorf,380000;110000,Austrian Power Grid AG;Energie Burgenland AG,,
Kronstorf,14.469427174416133,48.11643531029265,235546807.0,Schaltwerk Kronstorf,380000,Austrian Power Grid AG,,
Sattledt,14.052111502980626,48.08325524594766,50650855.0,Umspannwerk Sattledt,220000,Austrian Grid Power AG,,
Ybbsfeld,15.047820893649488,48.14670684820271,30076588.0,Umspannwerk Ybbsfeld,220000;110000,,,
Ernsthofen,14.47373529523385,48.12492690319026,27763479.0,Umspannwerk Ernsthofen,380000;220000;110000,Austrian Power Grid AG,,
Villach Süd,13.828017533318585,46.55378638077101,603139216.0,Villach Süd,220000;110000,Austrian Power Grid AG;KNG-Kärnten Netz GmbH,,
Hausruck,13.899759088463847,48.10437543439564,93077882.0,Umspannwerk Hausruck,220000,Verbund Austrian Power Grid AG,,
Wallsee,14.695177155277769,48.16420697715914,95837658.0,Umspannwerk Wallsee,220000;110000,Austrian Power Grid AG,,
Wien Suedost,16.42006927197394,48.12390360961495,27795895.0,Umspannwerk Wien Südost,380000;220000;110000,Austrian Power Grid AG,,
Bisamberg,16.37828011763194,48.357755295034885,24253250.0,Umspannwerk Bisamberg,380000;220000;110000,Austrian Power Grid AG,,
Salzburg Elixhausen,13.066843061018794,47.8880497091323,105065132.0,Umspannwerk Salzburg,220000,Austrian Power Grid AG,,No 100% match
Klaus,14.16320684350702,47.8213913863046,152245073.0,Umspannwerk Klaus,220000,Austrian Power Grid AG,,
Neusiedl,16.83803268899121,47.96047562420308,82201785.0,Umspannwerk Neusiedl,220000;110000,Austrian Power Grid;Netz Burgenland,,
Westtirol,10.873936662408331,47.24442425348853,95812161.0,APG Umspannwerk Westtirol,380000;220000;110000,Austrian Power Grid AG,,
Oststeiermark,15.725705358365015,47.09114480608094,83742801.0,Umspannwerk Oststeiermark/Wünschendorf,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,No 100% match
Obersielach,14.681460598338004,46.66845419378613,83831570.0,Umspannwerk Obersielach,380000;220000;110000,Austrian Power Grid AG,,
Zeltweg,14.726172707435428,47.18096601694428,88684218.0,Umspannwerk Zeltweg,220000,Austrian Power Grid AG,,
Lienz,12.80576095527371,46.8250440199945,162826525.0,Umspannwerk Lienz,380000;220000;110000,Austrian Power Grid AG,,
Kledering,16.43153817368949,48.13899311360728,765101679.0,Umspannwerk Kledering,220000,Austrian Power Grid AG,,
Dreibein Mellach,15.49116844967024,46.91008698214191,694695942.0,Umspannwerk Mellach,380000,Austrian Power Grid AG,,No 100% match
Kainachtal,15.423167733646435,46.903637991022265,83740194.0,Umspannwerk Kainachtal/Zwaring,380000;110000,Verbund Austrian Power Grid AG;STEWEAG-STEG,,No 100% match
