,x,y,OSM_id,OSM_name,OSM_voltage,OSM_operator,comment
Mirovka,15.599091774619428,49.58066453403186,28382372.0,Mírovka,400000;110000,ČEPS,
Babylon,14.455785375303403,50.63547974652501,28479110.0,Babylon,400000;110000,ČEPS,
Prosenice,17.49799256213483,49.50305646506731,28625556.0,Prosenice,400000;220000;110000,ČEPS,
Slavetice,16.118891740563274,49.10375398329703,27867392.0,Slavětice,400000;110000,ČEPS,
Sokolnice,16.69908086293369,49.1122568571446,27849030.0,Sokolnice,400000;220000;110000;22000,,
Tabor,14.690021953414249,49.41160497007059,28622657.0,Tábor,220000;110000;22000,ČEPS,
Cebin,16.458080869814744,49.33031584481625,26143409.0,Čebín,400000;110000;25000,,
Reporyje,14.329935709432432,50.01576645531673,28457258.0,Transformovna Řeporyje,400000;110000;22000,,
Dasny,14.422009920608494,49.02531403644107,28479829.0,rozvodna Dasný,400000;110000,ČEPS,
C. Stred,14.768623247695915,50.143021870609054,28468576.0,Rozvodna Čechy střed,400000;220000;110000,ČEPS,No 100% match
H.Zivotice,17.64782843170064,49.9732034666009,28628927.0,Horní Životice,400000;110000,ceps_cz,No 100% match
Vyskov,13.69471523198468,50.39579094468654,28349754.0,Výškov,400000;220000;110000,ČEPS,
Neznasov,15.835183566285869,50.33590680327706,28268556.0,Neznášov,400000;110000,ČEPS,
Vitkov,12.675255871288686,50.16071099308342,149306820.0,Vítkov,220000;110000,ČEPS,Multiple matches
Liskovec,18.315852764755487,49.70504248376128,28624004.0,Lískovec,220000;110000,ČEPS,
Chotejovice,13.801430394996313,50.58308771105894,197827799.0,Chotějovice,400000;220000;110000;35000;10000,ČEPS,
Milin,14.070761931013555,49.59614708282565,28478418.0,Milín,220000;110000,ČEPS,
Albrechtice,18.50793354850396,49.78565086697738,28624926.0,Albrechtice,400000;110000,ČEPS,
Opocinek,15.649198616042408,50.03188429128899,28348269.0,Opočínek,220000;110000,ČEPS,
Tynec,15.361324479184225,50.05491703438225,28622793.0,Týnec,400000;110000,,
Malesice,14.529675872639194,50.084095730392335,25838372.0,Rozvodna Malešice,220000;110000;22000,ČEPS;PRE,
Nosovice,18.430715154134568,49.669009255214,28624204.0,Nošovice,400000;110000,ČEPS,
Chrast,13.47488579231,49.77864254329746,28476742.0,Chrást,400000;110000;22000,,
Chodov,14.503747371337322,50.01798119832704,28478409.0,Chodov,400000;110000;22000,ČEPS;PRE,
H. Zivotice,17.64782843170064,49.9732034666009,28628927.0,Horní Životice,400000;110000,ceps_cz,No 100% match
Hradec,13.327332400570656,50.346529389325056,28099187.0,Hradec,400000;220000,ČEPS,
Kocin,14.352912820885011,49.15805460252006,28469397.0,rozvodna Kočín,400000;110000,ČEPS,
Prestice,13.335280425866236,49.58968984155661,28477054.0,Přeštice,400000;220000;110000,ČEPS,
Bezdecin,15.112405827001362,50.65776476965353,28475691.0,Bezděčín,400000;110000;22000,ČEPS,
Kletne,17.941219948440718,49.67808874989076,174152948.0,Kletné,400000;110000,ČEPS,
Krasikov,16.668411344090728,49.85869709978399,28470958.0,Krasíkov,400000,ČEPS,
Otrokovice,17.559626826558212,49.21675906685051,28626812.0,rozvodna Otrokovice 400/110 kV,400000,ceps_cz,No 100% match
