,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2,correction
RECLAW,14.631577523111227,53.84659288954229,668348943.0,Polygon,Stacja Elektroenergetyczna 220kV Recław,220000,PSE,,,
SOCHACZEW,20.25879055874196,52.23267589562574,145037309.0,Polygon,"Stacja elektroenergetyczna ""Sochaczew"" 220/110kV",220000;110000,PSE,,,
BYCZYNA,19.292119724319203,50.16377749744917,133537926.0,Polygon,"Stacja elektroenergetyczna ""Byczyna"" 400kV",400000;220000,Polskie Sieci Elektroenergetyczne S.A.,,,
MILOSNA,21.289368337166696,52.22700469493982,99593626.0,Polygon,"Stacja elektroenergetyczna ""Miłosna"" 400/220/110 kV",400000;220000;110000,PSE Operator,,,
ZGIERZ,19.38345060857015,51.83081583366589,101982559.0,Polygon,Stacja elektroenergetyczna „Zgierz” 220/110 kV,220000;110000,PSE Operator,,,
KOZIENICE,21.45574246728452,51.66246102784344,173582810.0,Polygon,"Stacja elektroenergetyczna ""Kozienice"" 400/220/110 kV",400000;220000;110000,PSE,,,
GDANSK-BLONI,18.70967704952505,54.33868183651546,112614319.0,Polygon,"Stacja elektroenergetyczna ""Gdańsk Błonia"" 400/110 kV",400000;110000,PSE Operator,No 100% match,,
ZYDOWO,16.710252430838114,54.024140327050745,178838661.0,Polygon,"Stacja elektroenergetyczna ""Żydowo"" 220/110 kV",220000;110000,PSE; Energa Operator,,,
TORUN ELANA,18.6704498387906,53.04472383649343,143484238.0,Polygon,Stacja elektroenergetyczna „Toruń - Elana” 220/110 kV,220000;110000,PSE/Energa,No 100% match,,
T JOA-LAG,19.2454737,50.744001,1830250162.0,Polygon,,220000,PSE,No 100% match,,T-connection without substation between the station of Joachimów and Łagisza.
LAGISZA,19.141070938896508,50.35215116734198,66161634.0,Polygon,"Stacja elektroenergetyczna ""Łagisza"" 400/220/110 kV",400000;220000;110000,PSE,,,
LESNIOW,15.2929376996242,51.98842205235759,158232924.0,Polygon,"Stacja elektroenergetyczna ""Leśniów"" 220/110 kV",220000;110000,PSE Operator,,,
RZESZOW,21.871046886922738,50.19148480807713,215282393.0,Polygon,Rzeszów Systemowa (Widełka) 750/400/110 kV,750000;400000;110000,PSE,,,
OSTROW WLKP,17.84922301064731,51.636052586860586,255293403.0,Polygon,"Stacja elektroenergetyczna ""Ostrów"" 400/110 kV",400000;110000,PSE Operator,,,
MOSZCZENICA,18.563352576617653,49.941240884196105,184899160.0,Polygon,Stacja elektroenergetyczna „Moszczenica” 220/110 kV,220000;110000,PSE Operator,,,
PELPLIN,18.66535607797212,53.94534074658496,385098015.0,Polygon,Stacja elektroenergetyczna 400/110 kV Pelplin,400000;110000,PSE,,,
POZNAN PLD,16.913981896158695,52.331503616542335,131120723.0,Polygon,Stacja elektroenergetyczna 220/110/15 kV Poznań Południe,220000;110000,PSE Operator/Enea Operator Sp. z o.o.,No 100% match,,
ROZKI,21.046420139236336,51.33802978021966,189851841.0,Polygon,Stacja elektroenergetyczna „Rożki” 220/110 kV,220000;110000,PSE Operator,,,
SWIEBODZICE,16.352055593075782,50.8542561732606,179138441.0,Polygon,Stacja elektroenergetyczna 220/110kV „Świebodzice”,220000;110000,TAURON Dystrybucja S.A.,Multiple matches,,
WROCLAW,16.880479772466717,51.00325227493626,154510504.0,Polygon,"Stacja elektroenergetyczna 400/110kV R-5 ""Wrocław"" WRC",400000;110000,,,,
SIERSZA,19.46473800393422,50.20892061436367,9399771.0,MultiPolygon,Stacja elektroenergetyczna „Siersza” 220/110kV,220000;110000,PSE Operator,,,
WANDA,20.07890214513593,50.06150217323286,115801644.0,Polygon,Stacja elektroenergetyczna „Wanda” 220/110 kV,220000;110000,PSE Operator,,,
GORZOW,15.268319615117456,52.74748981741804,223873553.0,Polygon,"Stacja elektroenergetyczna ""Gorzów"" 220/110 kV",220000;110000,PSE Operator,,Duplicated OSM name: 223873553 385539724 ,
KOPANINA,18.84971302070722,50.13056123616063,183945016.0,Polygon,"Stacja elektroenergetyczna ""Kopanina"" 220/110 kV",220000;110000,PSE,,,
DUNOWO,16.095752318447815,54.12665925873162,175406958.0,Polygon,"Stacja elektroenergetyczna ""Dunowo"" 400/220/110 kV",400000;220000;110000,PSE Operator / Energa,,,
POLANIEC,21.331958019392783,50.44263299019148,199098053.0,Polygon,"Stacja elektroenergetyczna ""Połaniec"" 400/220/110kV",400000;220000;110000;15000,PSE Operator,,,
ELK BIS,22.301919243682235,53.75760015497119,303870256.0,Polygon,"Stacja elektroenergetyczna ""Ełk Bis"" 400 kV/110kV",400000;110000,PSE Operator,,,
KROSNO ISKRZYNIA,21.852623301641906,49.68822606456642,166838338.0,Polygon,"Stacja elektroenergetyczna ""Krosno Iskrzynia"" 400/110 kV",400000;110000,PSE Operator,,,
NAREW,23.04615690008596,53.02699121056728,293489663.0,Polygon,Stacja elektroenergetyczna „Narew” 400/110 kV,400000;110000,PSE Operator,,,
LOSNICE,19.461943411466404,50.49680073184143,153838553.0,Polygon,Stacja elektroenergetyczna „Łośnice” 220/110kV,220000;110000,PSE,,,
HUTA CZESTOCHOWA,19.16829759823184,50.77601476558653,224727316.0,Polygon,"Stacja elektroenergetyczna ""Huta Częstochowa"" 220/110 kV",220000;110000,,,,
POLKOWICE,16.0755497210073,51.4963835841748,180542657.0,Polygon,"Stacja elektroenergetyczna ""Polkowice"" 400/220/110 kV",400000;220000;110000,TAURON Dystrybucja S.A.;PSE S.A.,,,
ZYDOWO KIERZKOWO,16.73057950288001,54.04143876612796,534238983.0,Polygon,Stacja elektroenergetyczna Żydowo Kierzkowo 400/110kV,400000;110000,PSE Operator,,,
OLSZTYN-MATK,20.34796983271074,53.82734512222287,101914781.0,Polygon,Stacja elektroenergetyczna „Olsztyn Mątki” 400/220/110 kV,400000;220000;110000,PSE Operator,No 100% match,,
STALOWA WOLA,22.0775006686076,50.5552963246782,726776987.0,Polygon,Stacja elektroenergetyczna 220/110 kV Stalowa Wola,220000;110000,PSE Operator,,,
KROMOLICE,17.168929726977463,52.28113422055835,254938713.0,Polygon,Stacja elektroenergetyczna Kromolice 400/110kV,400000;110000,PSE Operator,,,
JANOW,19.56146602886618,51.75770927688747,35366436.0,Polygon,Stacja elektroenergetyczna „Janów” 220/110 kV,220000;110000,PSE,,,
KEDZIERZYN,18.25422389033672,50.31714103007989,185459155.0,Polygon,"Stacja elektroenergetyczna ""Kędzierzyn"" 220/110kV",220000;110000,,,,
ZAMOSC,23.29284043762028,50.71673340302635,173613665.0,Polygon,Stacja elektroenergetyczna „Zamość” 220/110 kV,220000;110000,PSE Operator,,,
CZERWONAK,16.977511070210667,52.47430922623428,293484894.0,Polygon,"Stacja elektroenergetyczna ""Czerwonak"" 220/110 kV",220000;110000,Enea Operator Sp. z o.o.,,,
POLICE,14.521960540559425,53.56435115061763,165763717.0,Polygon,"Stacja elektroenergetyczna ""Police"" 220/110kV",220000;110000,,,,
DOBRZEN,17.87346504977897,50.74633138081381,255277953.0,Polygon,"Stacja elektroenergetyczna ""Dobrzeń"" 400/110 kV",400000;110000,PSE,,,
BOGUCHWALA,21.93287765738796,49.99408080732677,198635989.0,Polygon,"Stacja elektroenergetyczna ""Boguchwała"" 220/110 kV",220000;110000;30000;15000,PSE Operator,,,
PIOTRKOW,19.68334423313251,51.42822568634919,170316833.0,Polygon,Stacja elektroenergetyczna „Piotrków” 220/110 kV,220000;110000,PSE Operator,,,
KATOWICE,19.054232408003628,50.264401052600206,29139402.0,Polygon,"Stacja elektroenergetyczna ""Katowice"" 220/110/6 kV",220000;110000;6000,PSE,,,
MOSCISKA,20.881308841998848,52.290629846081984,91384044.0,Polygon,"Stacja elektroenergetyczna ""Mościska"" 400/110 kV",400000;110000,PSE Operator,,,
RADKOWICE,20.52211693776789,50.787749674113584,199098055.0,Polygon,"Stacja elektroenergetyczna ""Radkowice"" 220/110/15kV",220000;110000,PSE,,,
WIELOPOLE,18.54103855242984,50.12301272914037,139452056.0,Polygon,Stacja elektroenergetyczna „Wielopole” 400/220/110 kV,400000;220000;110000,PSE,,,
CZARNA,16.28963853384932,51.39203637180391,154894455.0,Polygon,"Stacja elektroenergetyczna ""Czarna"" 400/110 kV",400000;110000,Tauron Dysrybucja S.A.;PSE S.A.,,,
SIEDLCE UJRZANOW,22.343986632839066,52.12970138155679,255972397.0,Polygon,"Stacja elektroenergetyczna 400/110kV ""Siedlce Ujrzanów""",400000;110000,PSE Operator oddział Warszawa,,,
KIELCE,20.41507740455553,50.89982876670868,199098050.0,Polygon,"Stacja elektroenergetyczna ""Kielce"" 400/220kV",400000;220000,PSE,,,
ABRAMOWICE,22.584021948504763,51.19630498107744,170249563.0,Polygon,"Stacja elektroenergetyczna ""Abramowice"" 220/110 kV",220000;110000,PSE Operator,,,
T HAL-BYĆ,19.0843128,50.2039136,474996916.0,Polygon,,220000,PSE,No 100% match,,T-connection without substation between the station of Byczyna and Halemba.
ZABKOWICE,16.789933146381582,50.5940574881468,179279860.0,Polygon,Stacja elektroenergetyczna „Ząbkowice” 220/110/20 kV,220000;110000;20000,PSE Operator,,,
KOMOROWICE,19.053305279786844,49.86220143567607,98634956.0,Polygon,"Stacja elektroenergetyczna ""Komorowice"" 220/110 kV",220000;110000,PSE Operator,,,
LOMZA SYSTEMOWA,22.134033499762097,53.09080706157107,255972326.0,Polygon,"Stacja elektroenergetyczna 400kV ""Łomża""",400000,PSE,,,
CHELM,23.43955918731903,51.15826494421804,194903381.0,Polygon,"Stacja elektroenergetyczna ""Chełm""  400/220/110 kV",400000;220000;110000,PSE Operator,,,
WRZOSOWA,19.166540639360253,50.75395536875374,217899005.0,Polygon,"Stacja elektroenergetyczna ""Wrzosowa"" 220/110 kV",220000;110000,PSE Operator,,,
HALEMBA,18.852207500178903,50.23098712058354,183259405.0,Polygon,"Stacja elektroenergetyczna ""Halemba"" 220/110kV",220000;110000,,,,
CIEPLICE,15.68489699978905,50.88736124697273,178756295.0,Polygon,"Stacja elektroenergetyczna ""Cieplice"" 220/110 kV",220000;110000,PSE Operator,,,
JOACHIMOW,19.316644651900447,50.76003309197475,241842600.0,Polygon,Stacja elektroenergetyczna „Joachimów” 400/220 kV,400000;220000,PSE Operator,,,
ROKITNICA,18.772169495513,50.36548049386225,293489607.0,Polygon,"Stacja elektroenergetyczna ""Rokitnica"" 400/110kV",400000;110000,PSE,,,
OLTARZEW,20.74197075352409,52.22703334836729,251239544.0,Polygon,"Stacja elektroenergetyczna ""Ołtarzew"" 400/220/110kV",400000;220000;110000,PSE,,,
TREBACZEW,18.9078323508076,51.14274256996287,171917072.0,Polygon,Stacja elektroenergetyczna „Trębaczew” 400/110 kV,400000;110000,PSE Operator,,,
ANIOLOW,19.14231580006675,50.83205295812718,216060722.0,Polygon,"Stacja elektroenergetyczna ""Aniołów"" 220/110 kV",220000;110000,PSE,,,
OSTROLEKA,21.62328907278089,53.106957325045606,121656686.0,Polygon,"Stacja elektroenergetyczna 400/220/110kV ""Ostrołęka""",400000;220000;110000,PSE Operator,,,
MORZYCZYN,14.896377355401327,53.35462091183531,32943179.0,Polygon,"Stacja elektroenergetyczna ""Morzyczyn"" 400/220/110 kV",400000;220000;110000,PSE,,,
POREBA,19.27332303591717,50.00072414477505,135598292.0,Polygon,Stacja elektroenergetyczna „Poręba” 220/110 kV,220000;110000,PSE Operator,,,
GLINKI,14.581134116344144,53.49991115300676,40062974.0,Polygon,"Stacja elektroenergetyczna ""Glinki"" 220/110 kV",220000;110000,PSE Operator; Enea Operator,,,
PABIANICE,19.367827006438468,51.67760334783383,102165724.0,Polygon,"Stacja elektroenergetyczna ""Pabianice"" 220/110 kV",220000;110000,PSE Operator,,,
SKAWINA,19.80587751899764,49.97486709403061,189501431.0,Polygon,"Stacja elektroenergetyczna ""Skawina"" 400/220/110kV",400000;220000;110000,PSE,,,
GDANSK PRZYJAZN,18.381472028189844,54.28168107738129,385118244.0,Polygon,Stacja elektroenergetyczna 400kV Gdańsk Przyjaźń,400000,PSE,,,
PIASECZNO,21.03557162924899,52.09123195257759,29098336.0,Polygon,Stacja elektroenergetyczna „Piaseczno” 220/110 kV,220000;110000,PSE Operator,,,
KLIKOWA,20.94503198057605,50.06380279120588,191035265.0,Polygon,"Stacja elektroenergetyczna ""Klikowa"" 220/110 kV",220000;110000,PSE Operator,,,
KOKSOCHEMIA,19.344600788645,50.3386737219444,66051759.0,Polygon,"Stacja elektroenergetyczna ""Koksochemia"" 220kV",220000;6000,,,,
STANISLAWOW,21.55682195898881,52.26972047579442,255973806.0,Polygon,"Stacja elektroenergetyczna 400kV ""Stanisławów""",400000,,,,
TUCZNAWA,19.331685625386072,50.376895548275,40946784.0,Polygon,Stacja elektroenergetyczna „Tucznawa” 400/110 kV,400000;110000,PSE Operator,,,
LUBOCZA,20.098810989292232,50.09585773250037,87667718.0,Polygon,"Stacja elektroenergetyczna ""Lubocza"" 220/110kV",220000;110000,PSE Operator,,,
ZUKOWICE,16.00595068480019,51.66237096144501,180535363.0,Polygon,"Stacja elektroenergetyczna ""Żukowice"" 220/110 kV",220000;110000,PSE,,,
TARNOW,20.96502675038349,49.96941599029642,166710856.0,Polygon,Stacja elektroenergetyczna „Tarnów” 400/110 kV,400000;110000,PSE Operator,,,
PORABKA-ZAR,19.211801969257543,49.78038112150767,98611253.0,Polygon,"Stacja elektroenergetyczna ""Porąbka Żar"" 220 kV",220000,PSE,,,
MIKULOWA,15.112966321178808,51.0915488439923,111615226.0,Polygon,Stacja elektroenergetyczna „Mikułowa” 400/220/110 kV,400000;220000;110000,PSE Operator,,,
BLACHOWNIA,18.29380632473763,50.35908850899073,185454704.0,Polygon,"Stacja elektroenergetyczna ""Blachownia"" 220/110kV",220000;110000,,,,
OLSZTYN MATKI,20.34796983271074,53.82734512222287,101914781.0,Polygon,Stacja elektroenergetyczna „Olsztyn Mątki” 400/220/110 kV,400000;220000;110000,PSE Operator,,,
MOKRE,23.147758231083955,50.698448592764194,170368942.0,Polygon,Stacja elektroenergetyczna „Mokre” 220/110 kV,220000;110000,PSE Operator,,,
SLUPSK,16.893671558021055,54.50201236667884,305265212.0,Polygon,"Stacja elektroenergetyczna 400/110kV ""Słupsk Wierzbięcin""",400000;110000,PSE Operator,,Duplicated OSM name: 305265212 365677253 ,
JAMKI,19.26943917824567,50.325815892944014,40946790.0,Polygon,"Stacja elektroenergetyczna ""Jamki"" 220/110kV",220000;110000,PSE Operator,,,
PULAWY,21.989289042648902,51.453800108489695,88544449.0,Polygon,"Stacja elektroenergetyczna ""Puławy"" 220kV",220000,,,,
ZARNOWIEC,18.108590956655327,54.71859755063515,86494356.0,Polygon,"Stacja elektroenergetyczna ""Żarnowiec"" 400/110 kV",400000;110000,PSE Operator;Energa,,,
ELK,22.32343276612689,53.77390586545079,170259740.0,Polygon,"Stacja elektroenergetyczna ""Ełk"" 220/110 kV",220000;110000,PSE Operator,,,
OSTROWIEC,21.45167023659497,50.9388550834088,254235846.0,Polygon,"Stacja elektroenergetyczna ""Ostrowiec"" 400/110 kV",400000;110000,PSE Operator,,,
LUBLIN,22.61619794404637,51.29811873561082,148060965.0,Polygon,"Stacja elektroenergetyczna ""Lublin Systemowa"" 400/110kV",400000;110000,PSE Operator; PGE Dystrybucja,,,
OLSZTYN,20.529140965866542,53.8029922064832,101915790.0,Polygon,Stacja elektroenergetyczna „Olsztyn I” 220/110/15 kV,220000;110000;15000,PSE Operator;Energa Operator,No 100% match,,
GDANSK,18.44123523121406,54.33756663385625,154838041.0,Polygon,"Stacja elektroenergetyczna ""Gdańsk I"" 400/220/110 kV",400000;220000;110000,PSE Operator,No 100% match,,
KIELCE PIASKI,20.638267770805623,50.90471832201459,228154083.0,Polygon,Stacja elektroenergetyczna „Kielce Piaski” 220/110/30/15kV,220000;110000,PSE,,,
ADAMOW,18.54192057165448,52.012041763502914,171383831.0,Polygon,Stacja elektroenergetyczna Adamów 220/110 kV,220000;110000,PSE Operator,,,
BIERUN,19.169461941298923,50.08609308705194,255232597.0,Polygon,"Stacja elektroenergetyczna ""Bieruń"" 220/110 kV",220000;110000,PSE Operator,,,
CHMIELOW,21.67155178569316,50.50415403072733,191352746.0,Polygon,"Stacja elektroenergetyczna ""Chmielów"" 220/110 kV",220000;110000,PSE Operator,,,
ROGOWIEC,19.32853800583572,51.31611791431302,293484891.0,Polygon,"Stacja elektroenergetyczna ""Rogowiec"" 400/220 kV",400000;220000,PSE Operator,,,
CZECZOT,19.10486343966399,50.01815818403895,291375946.0,Polygon,Stacja elektroenergetyczna „Czeczott” 220 kV,220000,,No 100% match,,
PLEWISKA,16.779157207394878,52.36851025774515,32036484.0,Polygon,"Stacja elektroenergetyczna ""Plewiska"" 400/220/110 kV",400000;220000;110000,PSE,,,
KRAJNIK,14.4761642186892,53.196658029204514,39428977.0,Polygon,"Stacja elektroenergetyczna ""Krajnik"" 400/220 kV",400000;220000,PSE Operator,,,
GROSZOWICE,17.971418237642553,50.61335394011381,336990960.0,Polygon,"Stacja Energetyczna ""Groszowice"" 220/110 kV",220000;110000,PSE,,,
PATNOW,18.234986535587925,52.3051115397192,255284259.0,Polygon,"Stacja elektroenergetyczna ""Pątnów"" 400/220/110 kV",400000;220000;110000,PSE Operator,,,
WLOCLAWEK AZ,18.95947057401501,52.70064705446005,72879943.0,Polygon,"Stacja elektroenergetyczna ""Włocławek Azoty"" 220/110 kV",220000;110000,PSE S.A.;Energa Operator,No 100% match,,
KONIN,18.270332822178474,52.28666931544876,216975352.0,Polygon,"Stacja elektroenergetyczna ""El. Konin"" 220/110 kV",220000;110000,PSE Operator,,,
PODOLSZYCE,19.73578228780272,52.53669934860046,171992870.0,Polygon,"Stacja elektroenergetyczna ""Podolszyce"" 220/110kV",220000;110000,PSE Operator; Energa Operator,,,
JASINIEC,18.107776032234494,53.13552223339685,46235456.0,Polygon,"Stacja elektroenergetyczna ""Jasiniec"" 220/110 kV",220000;110000,PSE Operator; Enea Operator,,,
PASIKUROWICE,17.119120422795017,51.21375111784084,79033485.0,Polygon,Stacja elektroenergetyczna „Pasikurowice” 400/110 kV,400000;110000,PSE,,,
BOGUSZOW,16.190833843243887,50.75265321396847,177749653.0,Polygon,"Stacja elektroenergetyczna ""Boguszów"" 220/110 kV",220000;110000,PSE Operator,,,
MORY,20.87757495810857,52.21445305544248,29115701.0,Polygon,"Stacja elektroenergetyczna ""Mory"" 220/110kV",220000;110000,PSE Operator,,,
LESZNO,16.590080578567775,51.876277548328105,148197330.0,Polygon,"Stacja elektroenergetyczna ""Leszno"" 220/110 kV",220000;110000,PSE Operator,,,
BYDGOSZCZ ZA,17.878034596572498,53.08870295866657,255293400.0,Polygon,"Stacja elektroenergetyczna ""Bydgoszcz Zachód"" 400/110 kV",400000;110000,PSE,No 100% match,,
GRUDZIADZ,18.80463282892574,53.44672924498161,46092396.0,Polygon,"Stacja elektroenergetyczna ""Grudziądz - Węgrowo"" 400/220/110 kV",400000;220000;110000,PSE;Energa,No 100% match,,
PILA KRZEWINA,16.873009924987254,53.07812917810043,238640596.0,Polygon,"Stacja elektroenergetyczna ""Piła Krzewina"" 400/220/110 kV",220000;110000,PSE Operator,,,
BUJAKOW,19.2127402723363,49.842407243375554,44389929.0,Polygon,"Stacja elektroenergetyczna ""Bujaków"" 220kV",220000,PSE Operator,,,
PLOCK,19.71937956415473,52.63586567843208,144646702.0,Polygon,Stacja elektroenergetyczna „Płock” 400/110 kV,400000;110000,PSE Operator,,,
